company,model_name,colour,operating_system,Processor,processor_company,ram_in_GB,storage_in_GB,storage_type,touch_screen,screen_size,battery_life_in_hours,delivery,price_in_Euro
ACER,"Swift 3 14"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 3 5300U Processor,AMD,8,256.0,SSD,no,14.0,12.5,yes,669.0
LENOVO,"S330 14"" Chromebook ",black,Chrome OS,MediaTek MT8173C Processor,MediaTek,4,64.0,eMMC,no,14.0,10.0,yes,249.0
LENOVO,"IdeaPad Flex 3i 11.6"" 2 in 1 Laptop ",blue,Free Upgrade to Windows 11,Intel Celeron N4020 Processor,Intel,4,64.0,eMMC,no,11.6,12.5,yes,379.0
LENOVO,"IdeaPad 3i 14"" Laptop ",blue,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,4,128.0,SSD,no,14.0,,yes,449.0
DELL,"Inspiron 14 5415 14"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 5 5500U Processor,AMD,8,256.0,SSD,no,14.0,12.5,yes,679.0
DELL,"XPS 17 9710 17"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i9-11900H Processor,Intel,32,1000.0,SSD,yes,17.0,,yes,3839.0
ACER,"Spin 3 13.3"" 2 in 1 Laptop ",silver,Free Upgrade to Windows 11,Intel Evo platform,Intel,8,256.0,SSD,yes,13.3,,yes,999.0
DELL,"Inspiron 14 5410 14"" 2 in 1 Laptop ",silver,Windows 11,Intel Core i5-1155G7 Processor,Intel,8,256.0,SSD,yes,14.0,8.0,yes,879.0
HP,"Pavilion 15-eh0525na 15.6"" Laptop ",blue,Free Upgrade to Windows 11,AMD Athlon Gold 3150U Processor,AMD,4,128.0,SSD,yes,15.6,,yes,449.0
LENOVO,"IdeaPad 5iPro 14"" Laptop ",grey,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8,256.0,SSD,no,14.0,10.0,yes,839.0
ACER,"Spin 311 11.6"" 2 in 1 Chromebook ",silver,Chrome OS,Intel Celeron N4000 Processor,Intel,4,64.0,eMMC,no,11.6,10.0,yes,329.0
HP,"Pavilion 15-eh0524na 15.6"" Laptop ",silver,Free Upgrade to Windows 11,AMD Athlon Gold 3150U Processor,AMD,4,128.0,SSD,yes,15.6,,yes,449.0
ASUS,"VivoBook X705MA 17.3"" Laptop ",grey,Free Upgrade to Windows 11,Intel Pentium Silver N5000 processor,Intel,8,1000.0,HDD,no,17.3,6.0,yes,629.0
